Age BP,Varve
3949,0.51847912
3959,0.85
3969,0.924035284
3979,0.451342906
3989,0.572545453
3999,0.753088842
4009,0.360055787
4019,0.475138486
4029,1.224882262
4039,0.307128287
4049,0.872254278
4059,1.108609621
4069,0.875101115
4079,0.504958708
4089,0.812737712
4099,0.650500079
4109,1.160200758
4119,0.595076429
4129,0.628803819
4139,0.557749954
4149,1.119150763
4159,0.79220041
4169,0.488
4179,0.27725622
4189,0.798347099
4199,0.283144653
4209,0.390272734
4219,0.778340934
4229,0.755074308
4239,0.523605386
4249,0.317716935
4259,0.756229355
4269,0.291047469
4279,1.077221083
4289,0.723502078
4299,0.874896691
4309,0.665777635
4319,0.464814857
4329,0.154666685
4339,0.462037047
4349,0.525
4359,0.455666716
4369,0.563666632
4379,0.381518523
4389,0.8
4399,0.540262631
4409,0.716356674
4419,1.245787609
4429,0.728645514
4439,0.448050361
4449,0.631126913
4459,0.446717795
4469,0.5700175
4479,0.256892848
4489,0.598444202
4499,0.355037177
4509,0.473772424
4519,0.585065703
4529,0.803457336
4539,0.458175028
4549,0.290853393
4559,0.527505454
4569,1.10123852
4579,0.831654135
4589,0.413
4599,0.518352274
4609,0.66855142
4619,0.594448571
4629,0.07
4639,0.893100686
4649,0.610175064
4659,0.388006535
4669,0.574925595
4679,0.512321667
4689,0.990940943
4699,0.386741739
4709,0.549597364
4719,0.422704546
4729,0.389914673
4739,0.244457328
4749,0.495404815
4759,0.227151062
4769,0.660448581
4779,0.643087501
4789,0.685501084
4799,0.804921229
4809,0.673194754
4819,0.611378509
4829,0.296203499
4839,0.474266933
4849,0.728153168
4859,0.62643537
4869,0.773052525
4879,0.591684948
4889,0.695063457
4899,0.747914678
4909,0.770597381
4919,0.734772354
4929,0.852763692
4939,0.671562505
4949,0.628665179
4959,0.849133349
4969,0.360656451
4979,0.56820786
4989,0.507365433
4999,0.743173006
5009,0.611741789
5019,0.424124735
5029,0.402218843
5039,0.392455218
5049,0.728754942
5059,0.115407121
5069,0.403113792
5079,0.420733025
5089,0.888601749
5099,0.475293298
5109,0.66557111
5119,1.225894727
5129,0.594255998
5139,0.62658644
5149,0.575964969
5159,0.768380824
5169,0.568087532
5179,0.750746109
5189,0.651730867
5199,0.424105032
5209,0.820932185
5219,0.70173514
5229,0.596444197
5239,0.886374215
5249,0.738297631
5259,0.574945286
5269,0.363402636
5279,0.420514036
5289,0.73202626
5299,0.854387138
5309,0.814625759
5319,0.281017526
5329,0.336004336
5339,0.719308608
5349,0.920056888
5359,0.525870946
5369,0.652544844
5379,0.743089671
5389,0.581820578
5399,0.244126965
5409,0.480737491
5419,0.363
5429,0.441391688
5439,1.04
5449,0.359409199
5459,0.539529575
5469,0.622188176
5479,0.230798728
5489,0.552498864
5499,0.69713575
5509,0.441665179
5519,0.527571213
5529,0.485448581
5539,0.547336991
5549,0.451912497
5559,0.208131303
5569,0.629687081
5579,0.63375284
5589,0.653317283
5599,0.298743971
5609,0.488525166
5619,0.26879863
5629,0.372538318
5639,0.394680595
5649,0.777660718
5659,0.291781182
5669,0.696560137
5679,0.389087662
5689,0.300218829
5699,0.412671718
5709,0.193899387
5719,0.236433263
5729,0.240625798
5739,0.728391739
5749,3.111370527
5759,0.447144392
5769,0.2
5779,0.214562359
5789,0.053032813
5799,0.335643312
5809,0.626258133
5819,0.524866575
5829,0.335061275
5839,1.04
5849,
5859,0.306599466
5869,0.514352341
5879,0.525347855
5889,0.227879624
5899,0.36825164
5909,0.335264775
5919,0.367704509
5929,0.435593013
5939,0.188
5949,0.354391634
5959,0.247553627
5969,1.04
5979,0.500969319
5989,0.21
5999,
6009,
6019,0.368849061
6029,0.25651423
6039,0.294509781
6049,0.139422301
6059,0.287332585
6069,0.198183838
6079,0.40123852
6089,0.25016409
6099,0.229822745
6109,0.496971515
6119,0.634663029
6129,0.631921194
6139,0.537964925
6149,0.409409225
6159,0.222627977
6169,0.181838089
6179,1.04
6189,
6199,0.184080994
6209,0.336741815
6219,0.203153219
6229,0.223032815
6239,0.309387308
6249,0.203170688
6259,0.312855549
6269,0.219785507
6279,0.530997872
6289,0.312873056
6299,0.257129102
6309,0.348778981
6319,0.295824949
6329,0.258789937
6339,0.662671795
6349,0.43758427
6359,0.5
6369,0.498227607
6379,0.377146641
6389,0.338470451
6399,0.396717692
6409,0.298728645
6419,0.332529497
6429,0.342157526
6439,0.375
6449,0.425
6459,0.582249383
6469,0.186606147
6479,0.392750515
6489,0.434662949
6499,0.478
6509,
6519,0.442385104
6529,0.21
6539,0.232118144
6549,0.365483547
6559,0.486606123
6569,0.331389476
6579,0.510492331
6589,0.524761494
6599,0.407713381
6609,0.001
6619,0.207792062
6629,0.393
6639,
6649,
6659,
6669,
6679,
6689,
6699,0.028829816
6709,0.056
6719,
6729,0.27
6739,
6749,
6759,
6769,
6779,
6789,
6799,
6809,
6819,
6829,
6839,
6849,
6859,
6869,
6879,
6889,
6899,
6909,
6919,
6929,
6939,
6949,
6959,
6969,
6979,
6989,
6999,
7009,
7019,
7029,
7039,
7049,
7059,
7069,
7079,
7089,
7099,
7109,0.264300298
7119,0.22629279
7129,0.138
7139,0.18633866
7149,0.180193185
7159,0.292767004
